Id,SalePrice
1461,125576
1462,153624
1463,179644
1464,184723
1465,204080
1466,183131
1467,169025
1468,174833
1469,179835
1470,119904
1471,193774
1472,93390
1473,96136
1474,152743
1475,138000
1476,399898
1477,253867
1478,302786
1479,231980
1480,454261
1481,305702
1482,206872
1483,177302
1484,178147
1485,177827
1486,199291
1487,339322
1488,239226
1489,210844
1490,203419
1491,193771
1492,99520
1493,178658
1494,296797
1495,296284
1496,225291
1497,192975
1498,154515
1499,152124
1500,150563
1501,174192
1502,161779
1503,315729
1504,232101
1505,211783
1506,179787
1507,217934
1508,194222
1509,166600
1510,149761
1511,151514
1512,170862
1513,145484
1514,159628
1515,182256
1516,164985
1517,157697
1518,130873
1519,220262
1520,138922
1521,145495
1522,160556
1523,113781
1524,125192
1525,123957
1526,129180
1527,103344
1528,126897
1529,141376
1530,166841
1531,123345
1532,110978
1533,152032
1534,114882
1535,153614
1536,119203
1537,71219
1538,181520
1539,250002
1540,112874
1541,147512
1542,149564
1543,222108
1544,80132
1545,105043
1546,123267
1547,140398
1548,139383
1549,116600
1550,141144
1551,119868
1552,138430
1553,143480
1554,110880
1555,173886
1556,94507
1557,127434
1558,95165
1559,116550
1560,152904
1561,147837
1562,127133
1563,124812
1564,166991
1565,152193
1566,219501
1567,75805
1568,228676
1569,150975
1570,130494
1571,138992
1572,147967
1573,240537
1574,113933
1575,209122
1576,216470
1577,205239
1578,140611
1579,143209
1580,194573
1581,143116
1582,129457
1583,317949
1584,244622
1585,139306
1586,73575
1587,106805
1588,152590
1589,98634
1590,133615
1591,106760
1592,129259
1593,113624
1594,136601
1595,121122
1596,227962
1597,170455
1598,187537
1599,223421
1600,193739
1601,81936
1602,115606
1603,95047
1604,284702
1605,251962
1606,167305
1607,159503
1608,216877
1609,199910
1610,162946
1611,150325
1612,169368
1613,168361
1614,123973
1615,86504
1616,80226
1617,86824
1618,127530
1619,129240
1620,151848
1621,131973
1622,154965
1623,297745
1624,208462
1625,132209
1626,168159
1627,189512
1628,279663
1629,175589
1630,359622
1631,225860
1632,248771
1633,170722
1634,180324
1635,178596
1636,160081
1637,172537
1638,215459
1639,181780
1640,248600
1641,183654
1642,228018
1643,229968
1644,227609
1645,186024
1646,152034
1647,160572
1648,141156
1649,141621
1650,121234
1651,124239
1652,93618
1653,98654
1654,160327
1655,153869
1656,151421
1657,155444
1658,155535
1659,138851
1660,145629
1661,445483
1662,393779
1663,372816
1664,468171
1665,314231
1666,335399
1667,349090
1668,329558
1669,299027
1670,338617
1671,262602
1672,471360
1673,296821
1674,246244
1675,188866
1676,191548
1677,213858
1678,471243
1679,376184
1680,335991
1681,281188
1682,303889
1683,189736
1684,171772
1685,174240
1686,167358
1687,169589
1688,186489
1689,189494
1690,183890
1691,173622
1692,266155
1693,172380
1694,183748
1695,172117
1696,256064
1697,172933
1698,348519
1699,336641
1700,241291
1701,266712
1702,254465
1703,249998
1704,292561
1705,239244
1706,478649
1707,225358
1708,222033
1709,286665
1710,225671
1711,261887
1712,229195
1713,245218
1714,220008
1715,199756
1716,177929
1717,162384
1718,142271
1719,205094
1720,247348
1721,165121
1722,130745
1723,154557
1724,216989
1725,234108
1726,187711
1727,171953
1728,188623
1729,164743
1730,165595
1731,122073
1732,131027
1733,128431
1734,131039
1735,132207
1736,116982
1737,366306
1738,217495
1739,267751
1740,189104
1741,184360
1742,171774
1743,175828
1744,313125
1745,246186
1746,276359
1747,214661
1748,205310
1749,161169
1750,149516
1751,231131
1752,123735
1753,142362
1754,216802
1755,169747
1756,120656
1757,119594
1758,147979
1759,165427
1760,160018
1761,155114
1762,178421
1763,166287
1764,113645
1765,164267
1766,171409
1767,200850
1768,139426
1769,164169
1770,141501
1771,138647
1772,138767
1773,142313
1774,131219
1775,135520
1776,112771
1777,121063
1778,130688
1779,117736
1780,177822
1781,131326
1782,97467
1783,130022
1784,95281
1785,118101
1786,147361
1787,165950
1788,61259
1789,98210
1790,87887
1791,182023
1792,153238
1793,135311
1794,140411
1795,137631
1796,119980
1797,115525
1798,126859
1799,118112
1800,129302
1801,127271
1802,149693
1803,149106
1804,140083
1805,136532
1806,115299
1807,145368
1808,121306
1809,128980
1810,140955
1811,116076
1812,116686
1813,122938
1814,99089
1815,65192
1816,104161
1817,118904
1818,132046
1819,114869
1820,78116
1821,121462
1822,146079
1823,54498
1824,136836
1825,142655
1826,105393
1827,109097
1828,140410
1829,115587
1830,135452
1831,166217
1832,111882
1833,150755
1834,128569
1835,179039
1836,125601
1837,107556
1838,138082
1839,85083
1840,166760
1841,151074
1842,92281
1843,145055
1844,137828
1845,141100
1846,151602
1847,154235
1848,58201
1849,121796
1850,130073
1851,154279
1852,131305
1853,138352
1854,171779
1855,142361
1856,219644
1857,160010
1858,141426
1859,121950
1860,153825
1861,121741
1862,267270
1863,265478
1864,265478
1865,327007
1866,331401
1867,240107
1868,300072
1869,193315
1870,251240
1871,251165
1872,172938
1873,226500
1874,141366
1875,204342
1876,195452
1877,205554
1878,206834
1879,132631
1880,135651
1881,238646
1882,258567
1883,194793
1884,220122
1885,258962
1886,295318
1887,202170
1888,277945
1889,165755
1890,138944
1891,141771
1892,109424
1893,140298
1894,128371
1895,147230
1896,126824
1897,118379
1898,104745
1899,128195
1900,149393
1901,170165
1902,130765
1903,221677
1904,132082
1905,182430
1906,151141
1907,201972
1908,114867
1909,135985
1910,127710
1911,199563
1912,263862
1913,139874
1914,69449
1915,338605
1916,71833
1917,257217
1918,139061
1919,155312
1920,151944
1921,416328
1922,327973
1923,199019
1924,234841
1925,227231
1926,380395
1927,142486
1928,156815
1929,127091
1930,128070
1931,140223
1932,134827
1933,171921
1934,182683
1935,175707
1936,188832
1937,180645
1938,168307
1939,256109
1940,202955
1941,177229
1942,189855
1943,196368
1944,317800
1945,366110
1946,155362
1947,312929
1948,168523
1949,244937
1950,179389
1951,268405
1952,243231
1953,163811
1954,208726
1955,130122
1956,277064
1957,159251
1958,306579
1959,141987
1960,114404
1961,117555
1962,95485
1963,103416
1964,113304
1965,157915
1966,151652
1967,299026
1968,388232
1969,377035
1970,426054
1971,427161
1972,360597
1973,270084
1974,315124
1975,466494
1976,273449
1977,365874
1978,345851
1979,339223
1980,197128
1981,339695
1982,234591
1983,220672
1984,167072
1985,204598
1986,208227
1987,181616
1988,177189
1989,185115
1990,215128
1991,217293
1992,212518
1993,173566
1994,248891
1995,182571
1996,255509
1997,331385
1998,350367
1999,252429
2000,305537
2001,264283
2002,234730
2003,252604
2004,258409
2005,234989
2006,220650
2007,248420
2008,213582
2009,192127
2010,194669
2011,150047
2012,181478
2013,178493
2014,185822
2015,199714
2016,192933
2017,206658
2018,129869
2019,131620
2020,118380
2021,117271
2022,174019
2023,149826
2024,217216
2025,387541
2026,183664
2027,145330
2028,152546
2029,169353
2030,282106
2031,265845
2032,284964
2033,278574
2034,163770
2035,211234
2036,185975
2037,192371
2038,331751
2039,211885
2040,413499
2041,285032
2042,206051
2043,168521
2044,172550
2045,226088
2046,136797
2047,151922
2048,131443
2049,134419
2050,178921
2051,106419
2052,134471
2053,143706
2054,84458
2055,158513
2056,127428
2057,129423
2058,211201
2059,124371
2060,166262
2061,178422
2062,136988
2063,111819
2064,137837
2065,123683
2066,173417
2067,138429
2068,132862
2069,86088
2070,110306
2071,99363
2072,137596
2073,128908
2074,184841
2075,149505
2076,120733
2077,146679
2078,130580
2079,129317
2080,115281
2081,121902
2082,126780
2083,145918
2084,110650
2085,132541
2086,117443
2087,122742
2088,107854
2089,91346
2090,127999
2091,124200
2092,131622
2093,138441
2094,138662
2095,150833
2096,92103
2097,98262
2098,145226
2099,62576
2100,109872
2101,123596
2102,142359
2103,107099
2104,134888
2105,124447
2106,77357
2107,244920
2108,119970
2109,112476
2110,126952
2111,158827
2112,139745
2113,118261
2114,110697
2115,157381
2116,112324
2117,146570
2118,118531
2119,110727
2120,113816
2121,94341
2122,108195
2123,91916
2124,183156
2125,133327
2126,157328
2127,146031
2128,126176
2129,103041
2130,149296
2131,150048
2132,117064
2133,121007
2134,116421
2135,109028
2136,80256
2137,118748
2138,138228
2139,155172
2140,137266
2141,139939
2142,140885
2143,149863
2144,113531
2145,134243
2146,147739
2147,168340
2148,127040
2149,135371
2150,226067
2151,131981
2152,173032
2153,157549
2154,108752
2155,128244
2156,225665
2157,244413
2158,239275
2159,222144
2160,172370
2161,249587
2162,402773
2163,331547
2164,261467
2165,181530
2166,145647
2167,203063
2168,213008
2169,193396
2170,224182
2171,144509
2172,140750
2173,165280
2174,239214
2175,302016
2176,319790
2177,254406
2178,226357
2179,144570
2180,190205
2181,194295
2182,226622
2183,193987
2184,136786
2185,132389
2186,145923
2187,149419
2188,156526
2189,184502
2190,84065
2191,87041
2192,92409
2193,94923
2194,100465
2195,109038
2196,105465
2197,111901
2198,157122
2199,166042
2200,128663
2201,131074
2202,192149
2203,162543
2204,172325
2205,113504
2206,134887
2207,242805
2208,229720
2209,192923
2210,121414
2211,115992
2212,113748
2213,106143
2214,145344
2215,107454
2216,155750
2217,73303
2218,93950
2219,75164
2220,78486
2221,340071
2222,253596
2223,253401
2224,216055
2225,138950
2226,184434
2227,199476
2228,280764
2229,240734
2230,163354
2231,212673
2232,174722
2233,174871
2234,255167
2235,200384
2236,281874
2237,356871
2238,205292
2239,127522
2240,163007
2241,154597
2242,135702
2243,139228
2244,96941
2245,94884
2246,143197
2247,103748
2248,125770
2249,127176
2250,136386
2251,125343
2252,175499
2253,155824
2254,176270
2255,193181
2256,182376
2257,193080
2258,174451
2259,175616
2260,148286
2261,191985
2262,210512
2263,327423
2264,442059
2265,169480
2266,297329
2267,356725
2268,370656
2269,161817
2270,183795
2271,255056
2272,199345
2273,166052
2274,170999
2275,162882
2276,165098
2277,175162
2278,159934
2279,124858
2280,121813
2281,176401
2282,175429
2283,95106
2284,112291
2285,147177
2286,131191
2287,336483
2288,267700
2289,377600
2290,419398
2291,321158
2292,395194
2293,475256
2294,387655
2295,440419
2296,281838
2297,308779
2298,313424
2299,378729
2300,321419
2301,284753
2302,228306
2303,244259
2304,247850
2305,186902
2306,187749
2307,189135
2308,218253
2309,283730
2310,226310
2311,194589
2312,165791
2313,174966
2314,177734
2315,172077
2316,173222
2317,179450
2318,174012
2319,178590
2320,181374
2321,252204
2322,167557
2323,177069
2324,170727
2325,214886
2326,169016
2327,214058
2328,217666
2329,184499
2330,178707
2331,349350
2332,413832
2333,313457
2334,261263
2335,261381
2336,327890
2337,201809
2338,291333
2339,229955
2340,384756
2341,219128
2342,240307
2343,218262
2344,239861
2345,244059
2346,219735
2347,198154
2348,228842
2349,152099
2350,283091
2351,259412
2352,245069
2353,212520
2354,133280
2355,158428
2356,153466
2357,202622
2358,196473
2359,129290
2360,120564
2361,139986
2362,264713
2363,141476
2364,153217
2365,215884
2366,193371
2367,225543
2368,206819
2369,222678
2370,170609
2371,173255
2372,174960
2373,274213
2374,298249
2375,241842
2376,272986
2377,358185
2378,133345
2379,192159
2380,142991
2381,156296
2382,186264
2383,210490
2384,241068
2385,148635
2386,141335
2387,135392
2388,99373
2389,123997
2390,135204
2391,137391
2392,113862
2393,158181
2394,142353
2395,196182
2396,152000
2397,194477
2398,119710
2399,60239
2400,60344
2401,118882
2402,137147
2403,134033
2404,142963
2405,156940
2406,136699
2407,129273
2408,142219
2409,135978
2410,161561
2411,122787
2412,160365
2413,138974
2414,134535
2415,128854
2416,127140
2417,133151
2418,122840
2419,127512
2420,126371
2421,155059
2422,117835
2423,126911
2424,152197
2425,162496
2426,125238
2427,132565
2428,177196
2429,115283
2430,127528
2431,114679
2432,134780
2433,141411
2434,147072
2435,156750
2436,109891
2437,112200
2438,123221
2439,114642
2440,124624
2441,109315
2442,104340
2443,112733
2444,127821
2445,94943
2446,134438
2447,233148
2448,138852
2449,108918
2450,147907
2451,128607
2452,217077
2453,100483
2454,126657
2455,106550
2456,145141
2457,118396
2458,112693
2459,112724
2460,141658
2461,120024
2462,138083
2463,121880
2464,153023
2465,133504
2466,121127
2467,159276
2468,96920
2469,88102
2470,181209
2471,206430
2472,171745
2473,114851
2474,105658
2475,227358
2476,111535
2477,133673
2478,159145
2479,109067
2480,137371
2481,123724
2482,132774
2483,116640
2484,120962
2485,118473
2486,150858
2487,182142
2488,153368
2489,143378
2490,150173
2491,90470
2492,185609
2493,139277
2494,172678
2495,98593
2496,218275
2497,149272
2498,112617
2499,92140
2500,134230
2501,137226
2502,148413
2503,105128
2504,182204
2505,222709
2506,252975
2507,316034
2508,253940
2509,217377
2510,230299
2511,190051
2512,217231
2513,220383
